type,name,city,lat,lng,address,phone,tags,openHours,priceBand
type,name,city,lat,lng,address,phone,tags,openHours,priceBand
restaurant,うなぎ 桜家,三島市,35.1187,138.9127,静岡県三島市広小路町13-2,055-975-4520,うなぎ;老舗,11:00–20:00,高め
restaurant,すみの坊 三嶋大社前店,三島市,35.1171,138.9184,静岡県三島市大宮町2-1-1,055-981-2200,和食;鰻丼,11:00–20:00,普通
restaurant,カフェうーるー,三島市,35.1202,138.9108,静岡県三島市本町1-36,055-973-1231,カフェ;親子OK,10:00–17:00,普通
restaurant,フードスタジオ五味八珍,三島市,35.1189,138.9150,静岡県三島市一番町,055-972-8611,ファミレス;中華,11:00–22:00,普通
restaurant,マカロニ市場 三島店,三島市,35.115,138.93,静岡県三島市,,イタリアン;パンおかわり自由,,普通
restaurant,マリオパスタ,三島市,35.115,138.93,静岡県三島市南本町,,イタリアン;ビュッフェ,,普通
restaurant,リストランテ桜鏡,三島市,35.1058,138.9212,静岡県三島市谷田39-1,055-976-7777,イタリアン;子連れ可,11:30–14:00／17:30–20:30,高め
spot,三島スカイウォーク,三島市,35.1186,138.9289,静岡県三島市笹原新田313,055-972-0084,吊橋;展望,9:00–17:00,高め
spot,三島市児童センター,三島市,35.1183,138.9168,静岡県三島市一番町18-1,055-975-xxx,児童館;室内遊び;図書,9:00–17:00,無料
spot,三嶋大社,三島市,35.1168,138.9187,静岡県三島市大宮町2-1-5,055-975-0172,神社;散策,,無料
spot,伊豆・村の駅 たまご専門店 TAMAGOYA,三島市,35.115,138.93,静岡県三島市安久,,スイーツ;たまご,,普通
spot,児童センター（三島市民生涯学習センター内）,三島市,35.1180,138.9160,静岡県三島市一番町18-1,055-981-xxxx,児童館;室内遊び;図書併設,平日 9:00-17:00,無料
spot,地域子育て支援センター 本町子育て支援センター,三島市,35.1158,138.9180,静岡県三島市本町3-29 本町タワービル4階,055-972-2291,子育て支援;室内;親子交流,水曜9:00–17:00,無料
spot,恐竜アドベンチャー（三島スカイウォーク内） ,三島市,35.1186,138.9289,静岡県三島市笹原新田313,055-972-0084,体験迷路;ARゲーム;恐竜テーマ,営業時間に準ずる,普通
spot,柿田川公園,三島市,35.1381,138.9026,静岡県駿東郡清水町伏見71-7,055-981-8224,公園;湧水,,無料
spot,楽寿園,三島市,35.1190,138.9117,静岡県三島市一番町19-3,055-975-2570,動物園;公園,9:00–17:00,普通
spot,白滝公園,三島市,35.1184,138.9136,静岡県三島市白滝町,055-983-2655,公園;せせらぎ,,無料
restaurant,JIB FUJI by オールドソーコ,富士宮市,35.1605,138.6750,静岡県富士宮市,,カフェ;スイーツ,,普通
restaurant,The鐘庵,富士宮市,35.3500,138.6355,静岡県富士宮市,,そば・和食,,普通
restaurant,Tony's Honolulu（近隣沼津）,富士宮市,35.0950,138.8650,静岡県沼津市,不明,ハワイアンカフェ,不明,普通
restaurant,chill café,富士宮市,35.3270,138.6340,静岡県富士宮市弓沢町835-1,0544-57-8668,カフェ;託児併設;子連れ,託児 9:00～／カフェ11:00～,普通
restaurant,ma-n-ma（マンマ・近隣）,富士宮市,35.0950,138.8650,静岡県駿東郡清水町,不明,イタリアン;キッズスペース,不明,普通
restaurant,和食処 味一,富士宮市,35.3520,138.6350,静岡県富士宮市,,和食;子連れOK,,普通
restaurant,扉の向こう（名前不明）,富士宮市,35.3310,138.6380,静岡県富士宮市宮原236-8,070-8504-2929,カフェ;隠れ家;SNS話題,ランチ 火水木金 11:00–13:30／ディナー 火水 17:30–20:30,普通
restaurant,焼肉食堂さくら,富士宮市,,,静岡県富士宮市野中1057-13,0544-57-9668,焼肉;ランチバイキング,11:00–14:00／17:00–22:00,普通
restaurant,道の駅 朝霧高原,富士宮市,35.3260,138.6230,静岡県富士宮市,,道の駅;レストラン,,普通
restaurant,麺や厨 富士川楽座店,富士宮市,35.1600,138.6720,静岡県富士市（近隣）,,ラーメン;子連れOK,,普通
spot,まかいの牧場,富士宮市,35.3540,138.6400,静岡県富士宮市内野,,牧場;動物触れあい,,普通
spot,アサヒ飲料富士山工場 工場見学,富士宮市,35.3360,138.6320,静岡県富士宮市,,工場見学,,無料
spot,グリム 絵本専門店（近隣沼津）,富士宮市,35.0950,138.8650,静岡県沼津市,不明,絵本;親子,不明,普通
spot,富士宮市児童館 らっこ,富士宮市,35.3230,138.6240,静岡県富士宮市,,屋内遊び場;授乳室,,無料
spot,朝霧高原もちや,富士宮市,35.3170,138.6330,静岡県富士宮市,,キャンプ;レストラン;遊園地,,普通
spot,白糸の滝,富士宮市,35.3635,138.6234,静岡県富士宮市,,滝;自然,,無料
restaurant,ハワイアンカフェレストラン Tony's Honolulu（沼津市）*,富士宮市（近隣）,35.0950,138.8650,静岡県沼津市千本港町,不明,ハワイアン,不明,普通
restaurant,ALTANA cafe,富士市,35.1580,138.6790,静岡県富士市永田67-14,0545-52-9504,ブックカフェ;キッズOK;インスタ映え,10:30–15:30 (L.O.15:00),普通
restaurant,CAFE FRESNEL,富士市,35.1585,138.6775,静岡県富士市水戸島本町,,カフェ;香りカフェ,,普通
restaurant,Lumos cafe,富士市,35.1610,138.6780,静岡県富士市岩本,,カフェ;眺望良,,普通
restaurant,Palette Cafe,富士市,35.1630,138.6800,静岡県富士市長通,,カフェ;無添加,,普通
restaurant,YUHOBI Cafe,富士市,35.1550,138.6760,静岡県富士市大淵,,カフェ;富士山ビュ,,普通
restaurant,YUHOBI Cafe（ゆほびカフェ）,富士市,35.1615,138.6787,静岡県富士市大渕3440-11,0545-77-8252,カフェ;富士山ビュー;インスタ映え,11:00–18:00 (ランチ11-14:30 LO・カフェ14:30-17:30 LO),普通
restaurant,cafe musica,富士市,35.1660,138.6810,静岡県富士市吉原3-4-12,0545-53-3565,カフェ;雰囲気良;SNS話題,不明,普通
